date,1 - Título,1 - URL,1 - Tema,2 - Título,2 - URL,2 - Tema,3 - Título,3 - URL,3 - Tema,4 - Título,4 - URL,4 - Tema,5 - Título,5 - URL,5 - Tema
"""2016-12-31T23:19:41.000Z""","Amanda massacra Ronda e mantém cinturão do UFC  Brasileira dá show, arrasa a ex-rainha do MMA em 48 segundos e segue como campeã do peso galo",http://web.archive.org/web/20170101001941/http://esporte.uol.com.br/mma/ultimas-noticias/2016/12/31/ronda-rousey-x-amanda-nunes---ufc-207.htm,esporte#mma#ultimas-noticias,Eles eram famosos e optaram por trabalhos comuns,http://web.archive.org/web/20170101001941/https://observatoriodocinema.bol.uol.com.br/famosos/2016/12/7-famosos-que-trocaram-a-fama-por-trabalhos-comuns,observatoriodocinema#famosos#2016,PM confessa morte de embaixador da Grécia; mulher está presa,http://web.archive.org/web/20170101001941/http://noticias.uol.com.br/cotidiano/ultimas-noticias/2016/12/30/pm-confessou-que-matou-embaixador-da-grecia-diz-policia-civil-do-rio.htm,noticias#cotidiano#ultimas-noticias,Ele está no Brasil! Leonardo DiCaprio curte virada do ano em Trancoso,http://web.archive.org/web/20170101001941/http://tvefamosos.uol.com.br/noticias/redacao/2016/12/30/ele-esta-no-brasil-leonardo-dicaprio-curte-virada-do-ano-em-trancoso.htm,tvefamosos#noticias#redacao,UFC 207: Golpe ilegal interrompe luta e polêmica marca card preliminar,http://web.archive.org/web/20170101001941/http://esporte.uol.com.br/ultimas-noticias/ag-fight/2016/12/30/golpe-ilegal-interrompe-luta-e-polemica-marca-card-preliminar-do-ufc-207.htm,esporte#ultimas-noticias#ag-fight
"""2017-01-01T20:55:36.000Z""",Seis apostadores vão dividir o prêmio da Mega da Virada  Cada um dos ganhadores vai receber R$ 37 milhões. Os números sorteados foram 05 - 11 - 22 - 24 - 51 - 53,http://web.archive.org/web/20170101215536/http://noticias.uol.com.br/cotidiano/ultimas-noticias/2016/12/31/mega-da-virada.htm,noticias#cotidiano#ultimas-noticias,Você tem ideia de quanto custa um avião de linhas comerciais?,http://web.archive.org/web/20170101215536/http://todosabordo.blogosfera.uol.com.br/2017/01/01/voce-tem-ideia-de-quanto-custa-um-aviao-de-linhas-comerciais-normais/,todosabordo#2017#01,Chacina em SP deixa ao menos 13 mortos na virada,http://web.archive.org/web/20170101215536/http://noticias.uol.com.br/cotidiano/ultimas-noticias/2017/01/01/sp-homem-mata-ex-mulher-filho-e-mais-dez-em-campinas.htm,noticias#cotidiano#ultimas-noticias,Ronda pede 'tempo para refletir' depois de derrota para brasileira,http://web.archive.org/web/20170101215536/http://agfight.band.uol.com.br/ronda-rousey-rompe-o-silencio-apos-derrota-e-pede-tempo-para-refletir/,agfight#ronda-rousey-rompe-o-silencio-apos-derrota-e-pede-tempo-para-refletir#,Confira a previsão do seu signo para o primeiro mês do novo ano,http://web.archive.org/web/20170101215536/http://estilo.uol.com.br/horoscopo/mensais,estilo#horoscopo#mensais
"""2017-01-02T22:58:07.000Z""",Imagem flagra momento em que raio atinge mulher em SP  Turista caminhava pela praia quando foi atingida por relâmpago; ela foi socorrida e está em estado gravíssimo,http://web.archive.org/web/20170102235807/http://noticias.ne10.uol.com.br/brasil/noticia/2017/01/02/imagem-mostra-momento-em-que-jovem-e-atingida-por-raio-em-sp-654959.php,noticias#brasil#noticia,Autor de chacina em Campinas escreveu carta sobre seu plano,http://web.archive.org/web/20170102235807/http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2017/01/01/autor-de-chacina-em-campinas-escreveu-carta-sobre-seu-plano.htm,noticias#ultimas-noticias#agencia-estado,"Vítima de chacina era inteligente e dedicada ao jiu-jítsu, diz colega",http://web.archive.org/web/20170102235807/http://noticias.uol.com.br/cotidiano/ultimas-noticias/2017/01/01/vitima-de-chacina-era-inteligente-e-dedicada-ao-jiu-jitsu-diz-colega.htm,noticias#cotidiano#ultimas-noticias,Lojas dão descontos de até 70% para queimar estoque de 2016,http://web.archive.org/web/20170102235807/http://www1.folha.uol.com.br/mercado/2017/01/1846254-lojas-dao-descontos-de-ate-70-para-queimar-estoque-de-2016.shtml,www1#mercado#2017,"Massacre em presídio de Manaus choca juiz: ""Fiquem com Deus!""",http://web.archive.org/web/20170102235807/http://noticias.uol.com.br/cotidiano/ultimas-noticias/2017/01/02/massacre-em-presidio-do-am-nunca-vi-nada-igual-na-minha-vida-diz-juiz.htm,noticias#cotidiano#ultimas-noticias
"""2017-01-03T23:13:20.000Z""","Vinicius, filho de Bonner e Fátima, sofre acidente de carro   Carro que o jovem dirigia bateu em um caminhão, por volta das 6h50, próximo ao trevo de Búzios (RJ)",http://web.archive.org/web/20170104001320/http://tvefamosos.uol.com.br/noticias/redacao/2017/01/03/filho-de-william-bonner-e-fatima-bernardes-sofre-acidente-de-carro.htm,tvefamosos#noticias#redacao,5 famosos que ficaram sem 'aquilo maravilhoso' por amor,http://web.archive.org/web/20170104001320/http://tvefamosos.uol.com.br/album/2017/01/02/aqui-nao-tem-sexo-cinco-famosos-que-ficaram-sem-aquilo-maravilhoso.htm?foto=1,tvefamosos#album#2017,Caetano e Paula Burlamaqui curtem passeio de barco na Bahia,http://web.archive.org/web/20170104001320/http://www.redetv.uol.com.br/tvfama/blog/celebridades/caetano-veloso-e-paula-burlamaqui-curtem-dia-de-sol-em-passeio-de-barco,www#tvfama#blog,Monstro do mar Cáspio: É um navio? É avião? É uma geringonça soviética,http://web.archive.org/web/20170104001320/http://aventurasnahistoria.uol.com.br/noticias/galeria/historia-ilustrada-o-monstro-do-mar-caspio.phtml,aventurasnahistoria#noticias#galeria,Saiba em quais aparelhos o WhatsApp deixa de funcionar,http://web.archive.org/web/20170104001320/http://tecnologia.uol.com.br/noticias/redacao/2016/12/02/de-iphone-a-android-saiba-em-que-aparelhos-whatsapp-vai-parar-de-funcionar.htm ,tecnologia#noticias#redacao
"""2017-01-04T22:39:22.000Z""","Casal deixa vida de luxo em MG para buscar ""paz interior""  Com os 3 filhos, eles abandonaram a casa e concursos de R$ 15 mil por ""simplificação de vida""",http://web.archive.org/web/20170104233922/http://noticias.uol.com.br/cotidiano/ultimas-noticias/2017/01/04/pais-de-3-filhos-brasileiros-abandonam-bens-e-concursos-em-busca-de-paz-interior.htm,noticias#cotidiano#ultimas-noticias,"Vinicius, filho de Bonner e Fátima, sofre acidente de carro no Rio",http://web.archive.org/web/20170104233922/http://tvefamosos.uol.com.br/noticias/redacao/2017/01/03/filho-de-william-bonner-e-fatima-bernardes-sofre-acidente-de-carro.htm,tvefamosos#noticias#redacao,Cardozo: Divulgação de áudio feita por Moro impulsionou impeachment,http://web.archive.org/web/20170104233922/http://www1.folha.uol.com.br/poder/2017/01/1846810-acao-de-moro-impulsionou-impeachment-diz-cardozo.shtml,www1#poder#2017,"Voz da Priscila na TV Colosso revela: ""Tinha vontade de chorar""",http://web.archive.org/web/20170104233922/http://noticiasdatv.uol.com.br/noticia/televisao/vinte-anos-apos-o-fim-da-tv-colosso-atriz-revela-tinha-vontade-de-chorar--13712,noticiasdatv#noticia#televisao,Rússia e China lançam aviões para encarar Boeing e Airbus; veja,http://web.archive.org/web/20170104233922/http://todosabordo.blogosfera.uol.com.br/2017/01/04/russia-e-china-lancam-avioes-para-encarar-boeing-e-airbus-veja-novidades/,todosabordo#2017#01
"""2017-01-05T22:50:37.000Z""",Veja casais improváveis que chamaram atenção no futebol   O namoro entre Casagrande e Baby do Brasil pegou muita gente de surpresa; relembre outros casais com atletas,http://web.archive.org/web/20170105235037/http://esporte.uol.com.br/futebol/album/2017/01/04/veja-casais-improvaveis-que-fizeram-historia-no-futebol.htm?abrefoto=3,esporte#futebol#album,Datena retorna ligação e xinga homem que queria dar golpe,http://web.archive.org/web/20170105235037/http://tvefamosos.uol.com.br/noticias/redacao/2017/01/04/datena-retorna-ligacao-e-bate-boca-com-golpista-filho-de-uma-egu.htm,tvefamosos#noticias#redacao,Dr. Jairo responde: Há como fazero sexo durar mais tempo?,http://web.archive.org/web/20170105235037/http://noticias.uol.com.br/saude/ultimas-noticias/redacao/2017/01/05/sempre-gozo-antes-da-minha-namorada-ha-como-fazer-o-sexo-durar-mais-tempo.htm,noticias#saude#ultimas-noticias,"Ano novo, carrão novo! Neymar aparece para treinar de Ferrari preta",http://web.archive.org/web/20170105235037/http://uolesporte.blogosfera.uol.com.br/2017/01/04/ano-novo-carrao-novo-neymar-aparece-para-treinar-de-ferrari-preta-veja/,uolesporte#2017#01,"O que é e onde fica o mesentério, o ""novo"" órgão humano",http://web.archive.org/web/20170105235037/http://noticias.uol.com.br/saude/ultimas-noticias/bbc/2017/01/04/o-que-e-e-onde-fica-o-mesenterio-o-novo-orgao-do-corpo-humano-identificado-por-cientistas.htm,noticias#saude#ultimas-noticias
"""2017-01-06T22:58:45.000Z""","Policiais doam prêmio da Mega para tratamento de menina  Eles ganharam R$ 3 mil na quadra e deram o dinheiro para Isabela Diringer, 12 anos, que precisa operar o intestino",http://web.archive.org/web/20170106235845/http://noticias.uol.com.br/cotidiano/ultimas-noticias/2017/01/05/policiais-doam-premio-de-r-3-mil-para-tratamento-de-menina.htm,noticias#cotidiano#ultimas-noticias,"Aos 22, Whindersson Nunes compra carro de luxo e ostenta na internet",http://web.archive.org/web/20170106235845/http://tvefamosos.uol.com.br/noticias/redacao/2017/01/05/aos-22-anos-whindersson-nunes-compra-carro-de-luxo-e-ostenta-na-web.htm,tvefamosos#noticias#redacao,Iceberg gigante ameaça se desprender da Antártida,http://web.archive.org/web/20170106235845/http://noticias.uol.com.br/meio-ambiente/ultimas-noticias/bbc/2017/01/06/iceberg-gigante-ameaca-se-desprender-da-antartida-e-gera-preocupacao.htm,noticias#meio-ambiente#ultimas-noticias,33 presos são encontrados mortos em prisão em Roraima,http://web.archive.org/web/20170106235845/http://noticias.uol.com.br/cotidiano/ultimas-noticias/2017/01/06/pelo-menos-33-presos-sao-encontrados-mortos-em-prisao-em-roraima.htm,noticias#cotidiano#ultimas-noticias,"De férias em Natal, jovem descobre que é a ""cara"" do crepe",http://web.archive.org/web/20170106235845/http://paranaportal.uol.com.br/geral/curitibana-vai-passar-ferias-no-rn-e-descobre-que-foto-sua-ilustra-carrinhos-de-crepes/,paranaportal#geral#curitibana-vai-passar-ferias-no-rn-e-descobre-que-foto-sua-ilustra-carrinhos-de-crepes
"""2017-01-07T22:54:33.000Z""",Secretário de Temer deixa cargo após apoiar mais massacres  Bruno Júlio foi demitido depois de criticar a repercussão dada às matanças de presos no AM e RR,http://web.archive.org/web/20170107235433/http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2017/01/07/cai-secretario-de-temer-que-pediu-mais-chacinas.htm,noticias#ultimas-noticias#agencia-estado,"Férias, champanhe e joias: onde  anda o Rei do Camarote?",http://web.archive.org/web/20170107235433/http://entretenimento.band.uol.com.br/famosos/galeria/?ID=10000011978&t=Rei-do-Camarote-Ostentacao-religiao-e-familia,entretenimento#famosos#galeria,Conheça a história por trás da icônica foto do abutre e a criança,http://web.archive.org/web/20170107235433/http://www2.uol.com.br/guiadolitoral/materias/conheca_a_verdadeira_historia_por_tras_da_iconica_foto_do_abutre_e_a_crianca-3958-2016.shtml,www2#guiadolitoral#materias,Chico Pinheiro encerra o JN dando 'graças a Deus que hoje é sexta-feira',http://web.archive.org/web/20170107235433/http://tvefamosos.uol.com.br/noticias/redacao/2017/01/06/chico-pinheiro-encerra-jn-dando-gracas-a-deus-que-hoje-e-sexta-feira.htm,tvefamosos#noticias#redacao,"Contra Vampeta, torcida do São Paulo prega boicote à estreia de Ceni",http://web.archive.org/web/20170107235433/http://esporte.uol.com.br/futebol/campeonatos/paulista/ultimas-noticias/2017/01/06/contra-vampeta-torcida-do-sao-paulo-prega-boicote-a-estreia-de-ceni.htm,esporte#futebol#campeonatos
"""2017-01-08T23:05:26.000Z""","Pastor Valdemiro Santiago é esfaqueado durante culto  O pastor foi atacado por um fiel durante um culto na Igreja Mundial do Poder de Deus, no Brás, em São Paulo",http://web.archive.org/web/20170109000526/http://noticias.uol.com.br/cotidiano/ultimas-noticias/2017/01/08/pastor-valdemiro-santiago-diz-que-foi-atacado-dentro-de-igreja.htm,noticias#cotidiano#ultimas-noticias,Vai experimentar uma praia de nudismo? Obedeça as regras,http://web.archive.org/web/20170109000526/http://viagem.uol.com.br/listas/praias-de-nudismo-tem-regras-internas-conheca-e-evite-gafes.htm,viagem#listas#praias-de-nudismo-tem-regras-internas-conheca-e-evite-gafes.htm,Ex-mulher de deputado do mensalão pede asilo político nos EUA,http://web.archive.org/web/20170109000526/http://www1.folha.uol.com.br/poder/2017/01/1847917-ex-mulher-de-deputado-do-mensalao-pede-asilo-politico-nos-estados-unidos.shtml,www1#poder#2017,Conheça alguns famosos que se arrependeram de cirurgias plásticas,http://web.archive.org/web/20170109000526/https://observatoriodocinema.bol.uol.com.br/famosos/2017/01/10-famosos-que-se-arrependeram-de-cirurgias-plasticas,observatoriodocinema#famosos#2017,Sem fair play: Lutador nocauteia rival na hora do cumprimento,http://web.archive.org/web/20170109000526/http://uolesporte.blogosfera.uol.com.br/2017/01/07/cumprimentar-rival-no-mma-chines-lutador-vai-logo-para-o-nocaute/,uolesporte#2017#01
"""2017-01-09T23:14:39.000Z""",Guerra do bife: Olivier e empresário travam batalha  Chef e apresentador é processado por usar nome similiar ao de outro restaurante e servir a mesma carne,http://web.archive.org/web/20170110001439/http://tvefamosos.uol.com.br/noticias/ooops/2017/01/09/guerra-do-bife-olivier-anquier-e-empresario-travam-batalha-judicial-em-sp.htm,tvefamosos#noticias#ooops,"Para ir ao Corinthians, uruguaio ofende São Paulo, seu ex-time",http://web.archive.org/web/20170110001439/http://esporte.uol.com.br/futebol/ultimas-noticias/2017/01/09/por-corinthians-uruguaio-procura-andres-pede-chances-e-ate-provoca-o-sp.htm,esporte#futebol#ultimas-noticias,"""Temos que parar de legitimar facções"", diz juiz do Amazonas",http://web.archive.org/web/20170110001439/http://noticias.band.uol.com.br/cidades/noticia/100000839337/temos-que-parar-de-legitimar-faccoes-di,noticias#cidades#noticia,Meryl Streep comove no Globo de Ouro ao criticar postura de Trump,http://web.archive.org/web/20170110001439/http://www1.folha.uol.com.br/ilustrada/2017/01/1848172-meryl-streep-comove-no-globo-de-ouro-com-critica-a-trump.shtml,www1#ilustrada#2017,Trump reage a discurso e chama Meryl Streep de lacaia de Hillary,http://web.archive.org/web/20170110001439/http://cinema.uol.com.br/noticias/redacao/2017/01/09/amante-de-hillary-donald-trump-reage-ao-discurso-de-meryl-streep.htm,cinema#noticias#redacao
